layer,module,loss,samples,damp,time
0,self_attn.q_proj,0.0012579404,0.05000,2.568
0,self_attn.k_proj,0.0002016645,0.05000,2.406
0,self_attn.v_proj,0.0000233888,0.05000,2.344
0,self_attn.o_proj,0.0000660872,0.05000,0.534
0,mlp.up_proj,0.0006759331,0.05000,1.225
0,mlp.gate_proj,0.0009777857,0.05000,1.231
0,mlp.down_proj,0.0000657163,0.05000,4.054
1,self_attn.k_proj,0.0000731142,0.05000,2.401
1,self_attn.q_proj,0.0002513222,0.05000,2.420
1,self_attn.v_proj,0.0000166169,0.05000,2.451
1,self_attn.o_proj,0.0000268730,0.05000,0.506
1,mlp.up_proj,0.0169178465,0.05000,1.359
1,mlp.gate_proj,0.0206622950,0.05000,1.367
1,mlp.down_proj,0.0214092568,0.05000,4.063
2,self_attn.v_proj,0.0000637578,0.05000,2.360
2,self_attn.q_proj,0.0007242341,0.05000,2.398
2,self_attn.k_proj,0.0001529424,0.05000,2.403
2,self_attn.o_proj,0.0000289489,0.05000,0.521
2,mlp.up_proj,0.0110713686,0.05000,1.334
2,mlp.gate_proj,0.0167912794,0.05000,1.338
2,mlp.down_proj,0.0230348344,0.05000,4.231
3,self_attn.k_proj,0.0001491533,0.05000,2.337
3,self_attn.q_proj,0.0007052854,0.05000,2.357
3,self_attn.v_proj,0.0000846085,0.05000,2.363
3,self_attn.o_proj,0.0000464153,0.05000,0.592
3,mlp.up_proj,0.0067000462,0.05000,1.430
3,mlp.gate_proj,0.0121068121,0.05000,1.453
3,mlp.down_proj,0.0003202611,0.05000,4.097
4,self_attn.v_proj,0.0001166283,0.05000,2.317
4,self_attn.k_proj,0.0001716056,0.05000,2.382
4,self_attn.q_proj,0.0008992742,0.05000,2.394
4,self_attn.o_proj,0.0000604207,0.05000,0.545
4,mlp.gate_proj,0.0078701728,0.05000,1.449
4,mlp.up_proj,0.0048546852,0.05000,1.459
4,mlp.down_proj,0.0002699828,0.05000,4.063
5,self_attn.v_proj,0.0001616909,0.05000,2.271
5,self_attn.q_proj,0.0009235965,0.05000,2.297
5,self_attn.k_proj,0.0001960580,0.05000,2.297
5,self_attn.o_proj,0.0000983195,0.05000,0.509
5,mlp.up_proj,0.0100660782,0.05000,1.199
5,mlp.gate_proj,0.0153420215,0.05000,1.227
5,mlp.down_proj,0.0002495568,0.05000,4.023
6,self_attn.v_proj,0.0001368886,0.05000,2.267
6,self_attn.k_proj,0.0002595360,0.05000,2.272
6,self_attn.q_proj,0.0012380585,0.05000,2.289
6,self_attn.o_proj,0.0000409620,0.05000,0.497
6,mlp.gate_proj,0.0041509422,0.05000,1.206
6,mlp.up_proj,0.0034938514,0.05000,1.215
6,mlp.down_proj,0.0002104821,0.05000,3.985
7,self_attn.q_proj,0.0005795879,0.05000,2.064
7,self_attn.v_proj,0.0000895711,0.05000,2.079
7,self_attn.k_proj,0.0001122875,0.05000,2.089
7,self_attn.o_proj,0.0000639655,0.05000,0.499
7,mlp.gate_proj,0.0034864806,0.05000,1.157
7,mlp.up_proj,0.0033411690,0.05000,1.165
